fecha,ibex_close,tasa_desempleo,prima,pib_trim_per_capita
1995-08-04,3474.300048828125,20.8,436.0,2.9
1995-08-07,3482.89990234375,20.8,429.0,2.9
1995-08-08,3471.0,20.8,431.0,2.9
1995-08-09,3459.199951171875,20.8,431.0,2.9
1995-08-10,3481.300048828125,20.8,426.0,2.9
1995-08-11,3510.89990234375,20.8,419.0,2.9
1995-08-14,3497.800048828125,20.8,416.0,2.9
1995-08-16,3526.89990234375,20.8,413.0,2.9
1995-08-17,3511.199951171875,20.8,413.0,2.9
1995-08-18,3513.699951171875,20.8,424.0,2.9
1995-08-21,3514.39990234375,20.8,425.0,2.9
1995-08-22,3494.0,20.8,421.0,2.9
1995-08-23,3492.89990234375,20.8,425.0,2.9
1995-08-24,3513.800048828125,20.8,424.0,2.9
1995-08-25,3516.800048828125,20.8,427.0,2.9
1995-08-28,3494.300048828125,20.8,432.0,2.9
1995-08-29,3474.39990234375,20.8,433.0,2.9
1995-08-30,3472.39990234375,20.8,432.0,2.9
1995-08-31,3432.800048828125,20.8,435.0,2.9
1995-09-01,3454.0,20.9,446.0,2.9
1995-09-04,3456.0,20.9,442.0,2.9
1995-09-05,3455.5,20.9,437.0,2.9
1995-09-06,3480.0,20.9,434.0,2.9
1995-09-07,3472.39990234375,20.9,429.0,2.9
1995-09-08,3489.800048828125,20.9,420.0,2.9
1995-09-11,3513.5,20.9,415.0,2.9
1995-09-12,3526.39990234375,20.9,407.0,2.9
1995-09-13,3541.699951171875,20.9,407.0,2.9
1995-09-14,3537.89990234375,20.9,404.0,2.9
1995-09-15,3521.39990234375,20.9,403.0,2.9
1995-09-18,3496.300048828125,20.9,415.0,2.9
1995-09-19,3513.800048828125,20.9,419.0,2.9
1995-09-20,3507.10009765625,20.9,421.0,2.9
1995-09-21,3496.300048828125,20.9,431.0,2.9
1995-09-22,3423.39990234375,20.9,438.0,2.9
1995-09-25,3382.800048828125,20.9,447.0,2.9
1995-09-26,3401.800048828125,20.9,434.0,2.9
1995-09-27,3361.10009765625,20.9,428.0,2.9
1995-09-28,3343.39990234375,20.9,437.0,2.9
1995-09-29,3376.800048828125,20.9,433.0,2.9
1995-10-02,3361.39990234375,20.7,428.0,3.0
1995-10-03,3338.300048828125,20.7,428.0,3.0
1995-10-04,3340.60009765625,20.7,430.0,3.0
1995-10-05,3319.800048828125,20.7,429.0,3.0
1995-10-06,3275.699951171875,20.7,437.0,3.0
1995-10-09,3227.89990234375,20.7,440.0,3.0
1995-10-10,3244.800048828125,20.7,441.0,3.0
1995-10-11,3271.60009765625,20.7,437.0,3.0
1995-10-13,3334.89990234375,20.7,430.0,3.0
1995-10-16,3318.300048828125,20.7,433.0,3.0
1995-10-17,3306.5,20.7,428.0,3.0
1995-10-18,3328.0,20.7,429.0,3.0
