fecha,ibex_close,ibex_volume,deuda_perc_pib,gasto_perc_PIB,pib_trim_per_capita,var_pib,var_anual_pib,tasa_desempleo,tie,ipc,prima,eurusd_close,tim
2022-11-08,7998.89990234375,120200600,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,105.0,1.0018634796142578,0.00853
2022-11-09,8040.39990234375,161112100,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,104.0,1.008084774017334,0.00853
2022-11-10,8133.2001953125,256116900,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,103.0,1.0019538402557373,0.00853
2022-11-11,8133.2001953125,217995500,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,105.0,1.0192224979400635,0.00853
2022-11-14,8166.5,142671600,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,105.0,1.0328551530838013,0.00853
2022-11-15,8188.39990234375,182285400,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,105.0,1.0319278240203857,0.01369
2022-11-16,8101.39990234375,163754600,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,103.0,1.0357863903045654,0.01369
2022-11-17,8040.7001953125,139502400,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,102.0,1.0395010709762573,0.01369
2022-11-18,8127.7998046875,178686400,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,102.0,1.036172866821289,0.01369
2022-11-21,8188.39990234375,155115500,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,101.0,1.0330898761749268,0.01369
2022-11-22,8325.0,215622700,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,101.0,1.0245691537857056,0.01369
2022-11-23,8331.2001953125,154543800,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,97.0,1.0311086177825928,0.01369
2022-11-24,8388.099609375,137787400,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,96.0,1.0416233539581299,0.01369
2022-11-25,8416.599609375,135912400,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,99.0,1.040810227394104,0.01369
2022-11-28,8323.2001953125,125888100,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,100.0,1.0367528200149536,0.01369
2022-11-29,8322.099609375,145888800,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,100.0,1.034554123878479,0.01369
